x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,250,1705.852744,2199.640043,2689.587144,2904.52755,3001.857328,3050.767321,2969.253776,3050.506741,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
1,250,1527.319072,2047.487212,2602.333041,2880.585824,2998.605251,3050.650733,2969.252642,3050.506739,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
2,250,1347.334847,1879.682502,2494.225369,2846.34709,2993.206072,3050.41873,2969.249908,3050.50673,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
3,250,1171.820577,1700.666469,2364.659449,2798.983632,2984.535299,3049.972156,2969.243538,3050.506706,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
4,250,1006.261078,1515.933934,2214.452963,2735.606498,2971.065805,3049.140669,2969.229177,3050.506641,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
5,250,855.1976113,1331.534945,2046.011024,2653.574114,2950.825923,3047.643119,2969.197859,3050.506466,2990.689753,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
6,250,721.8674356,1153.486836,1863.295499,2550.86674,2921.40691,3045.034142,2969.131797,3050.506015,2990.689752,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
7,250,608.0362915,987.1915755,1671.57686,2426.47787,2880.043948,3040.637491,2968.996997,3050.504891,2990.68975,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
8,250,514.0299019,836.9514106,1476.988475,2280.755898,2823.78927,3033.470498,2968.730937,3050.502178,2990.689745,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
9,250,438.933826,705.6540829,1285.944577,2115.623531,2749.78289,3022.169541,2968.222969,3050.495845,2990.689731,2929.51102,2991.42907,2866.325495,2888.986893,2854.844715,2791.071343,2738.912219,2647.497793,2670.321082,2725.216395,2798.719747,2888.741655,2979.815898,3026.707474,2911.19836
